ID,title,link,address,latlng,review,type
391,Trà Sữa & Ăn Vặt - Nhà Sen - Hoàng Văn Thụ,https://shopeefood.vn/da-nang/tra-sua-an-vat-nha-sen-hoang-van-thu,"43A Hoàng Văn Thụ, P. Phước Ninh, Quận Hải Châu, Đà Nẵng",,,restaurant
392,"Sandi - Sandwich, Burger & Mỳ Ý - Ngô Văn Sở",https://shopeefood.vn/da-nang/sandi-sandwich-burger-my-y-ngo-van-so,"88 Ngô Văn Sở, P. Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",,,restaurant
393,BÒ NÉ - XÔI SÀI GÒN CÔ THUÝ,https://shopeefood.vn/da-nang/bo-ne-xoi-sai-gon-co-thuy,"10 Đào Công Chính, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
394,HALO - Tiệm Trà Sữa & Cà Phê,https://shopeefood.vn/da-nang/halo-tiem-tra-sua-ca-phe,"203/31 Nguyễn Tri Phương, P. Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",,,restaurant
395,Chân Gà O Loan - Đinh Thị Hòa,https://shopeefood.vn/da-nang/chan-ga-o-loan-dinh-thi-hoa,"2/7 Định Thị Hòa, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",,,restaurant
396,Tiệm Mì Kimjang - Kimjang Noodle Shop - Mì Cay Kim Chi & Đồ Ăn Vặt,https://shopeefood.vn/da-nang/tiem-mi-kimjang-kimjang-noodle-shop-mi-cay-kim-chi-do-an-vat,"02 An Hải Bắc 6, P. Mân Thái, Quận Sơn Trà, Đà Nẵng",,,restaurant
397,Cô 9 Tân Cương - 513/12 Tôn Đản,https://shopeefood.vn/da-nang/co-9-tan-cuong-an-uong-513-12-ton-dan-da-nang.wievgv,"513/12 Tôn Đản, P. Cẩm Lệ, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
398,Hẻm 34 - Cháo Quẩy & Ăn Vặt,https://shopeefood.vn/da-nang/hem-34-chao-quay-an-vat,"144/34 Nguyễn Lương Bằng, P. Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",,Yêu thích,restaurant
399,"Lucky - Món Ăn Huế, Trà Sữa & Trà Trái Cây - Đặng Dung",https://shopeefood.vn/da-nang/lucky-mon-an-hue-tra-sua-tra-trai-cay-dang-dung,"111 Đặng Dung, P. Hoà Khánh Nam, Quận Liên Chiểu, Đà Nẵng",,,restaurant
400,Gà Ủ Muối Chuẩn Vị - 70B Đặng Như Mai,https://shopeefood.vn/da-nang/ga-u-muoi-chuan-vi-70b-dang-nhu-mai,"70B Đặng Như Mai, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
401,Dâu - Milktea & Súp - Lạc Long Quân,https://shopeefood.vn/da-nang/dau-milktea-sup-lac-long-quan,"K09/16 Lạc Long Quân, P. Hoà Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",,Yêu thích,restaurant
402,Xôi - Bánh Mì Tùng,https://shopeefood.vn/da-nang/xoi-banh-mi-tung,"51 Đống Đa, Quận Hải Châu, Đà Nẵng",,Yêu thích,restaurant
403,Xôi Chiên - Mì Trộn Tô Tô & Bánh Cuốn Tây Sơn,https://shopeefood.vn/da-nang/xoi-chien-mi-tron-to-to-banh-cuon-tay-son,"192 Hoài Thanh, P. Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",,,restaurant
